Question_ID,Exam,Subject,Topic,Difficulty,Question_EN,Question_BN,Opt1_EN,Opt2_EN,Opt3_EN,Opt4_EN,Opt1_BN,Opt2_BN,Opt3_BN,Opt4_BN,Correct_Answer,Explanation_EN,Explanation_BN
CHEM-004,JEE,Chemistry,Carbonyl Compounds,Easy,Which of the following carbonyl compounds does NOT undergo aldol condensation?,নিচের কোন কার্বনিল যৌগটি অ্যালডল ঘনীভবন (Aldol Condensation) বিক্রিয়া দেয় না?,Chloral (CCl₃CHO),Acetaldehyde (CH₃CHO),Propanal (CH₃CH₂CHO),Acetone (CH₃COCH₃),ক্লোরাল (CCl₃CHO),অ্যাসিটালডিহাইড (CH₃CHO),প্রোপান্যাল (CH₃CH₂CHO),অ্যাসিটোন (CH₃COCH₃),1,"Aldol condensation requires at least one α-hydrogen atom attached to the α-carbon. Chloral (CCl₃CHO) possesses three chlorine atoms on the α-carbon and zero α-hydrogens, thus it cannot undergo aldol condensation.",অ্যালডল ঘনীভবনের জন্য আলফা-হাইড্রোজেনের উপস্থিতি বাধ্যতামূলক। ক্লোরালে (CCl₃CHO) কোনো আলফা হাইড্রোজেন নেই।
CHEM-005,JEE,Chemistry,Atomic Structure & Quantum Numbers,Medium,"For a 3d orbital, the number of radial nodes and angular nodes are respectively:",একটি 3d কক্ষকের জন্য রেডিয়াল নোড (Radial Nodes) এবং কৌণিক নোডের (Angular Nodes) সংখ্যা যথাক্রমে:,0 and 2,1 and 2,2 and 1,0 and 1,0 এবং 2,1 এবং 2,2 এবং 1,0 এবং 1,1,"For a 3d orbital: principal quantum number n = 3, azimuthal quantum number l = 2. Radial nodes = n - l - 1 = 3 - 2 - 1 = 0. Angular nodes = l = 2.","3d কক্ষকের জন্য n = ৩, l = ২। রেডিয়াল নোড = n - l - ১ = ৩ - ২ - ১ = ০। কৌণিক নোড = l = ২।"
CHEM-006,JEE,Chemistry,Coordination Compounds,Medium,The intense bright red colour of the nickel dimethylglyoxime complex [Ni(dmg)₂] is stabilized by how many intramolecular hydrogen bonds?,নিকেল ডাইমিথাইলগ্লাইঅক্সিম জটিল যৌগে [Ni(dmg)₂] কয়টি অন্তঃআণবিক হাইড্রোজেন বন্ধন উপস্থিত থাকে?,2,4,1,0,2,4,1,0,1,"In the square planar [Ni(dmg)₂] complex, the two dimethylglyoximate bidentate ligands are joined through two O-H···O symmetrical intramolecular hydrogen bonds, creating extra six-membered chelate rings.",[Ni(dmg)₂] জটিল যৌগে দুটি লিগ্যান্ডের মধ্যে ২টি O-H···O অন্তঃআণবিক হাইড্রোজেন বন্ধন থাকে।
CHEM-007,JEE,Chemistry,Solutions & Colligative Properties,Hard,A salt MX₂ dissociates into M²⁺ and 2X⁻ ions in water with degree of dissociation α = 0.5. The van 't Hoff factor (i) for this electrolyte is:,MX₂ লবণটি পানিতে M²⁺ ও 2X⁻ আয়নে বিয়োজিত হয় যার বিয়োজন মাত্রা α = ০.৫। এই দ্রবণটির ভ্যান্ট হফ গুণক (i) কত?,2.0,2.5,1.5,3.0,2.0,2.5,1.5,3.0,1,MX₂ -> M²⁺ + 2X⁻ (n = 3 ions per formula unit). Van 't Hoff factor i = 1 + (n - 1)α = 1 + (3 - 1)(0.5) = 1 + 2(0.5) = 1 + 1 = 2.0.,MX₂ বিয়োজনে ৩টি আয়ন উৎপন্ন হয় (n = ৩)। ভ্যান্ট হফ গুণক i = ১ + (n - ১)α = ১ + ২(০.৫) = ২.০।
PHY-001,NEET,Physics,Units and Measurement,Easy,"In a Vernier callipers, 20 Vernier Scale Divisions (VSD) coincide with 16 Main Scale Divisions (MSD). If each MSD is 1 mm, the least count of the Vernier callipers is:","একটি ভার্নিয়ার ক্যালিপার্সে, ২০টি ভার্নিয়ার স্কেল ঘর (VSD) ১৬টি মূল স্কেল ঘরের (MSD) সাথে মিলে যায়। মূল স্কেলের প্রতিটি ঘর ১ মিমি হলে ভার্নিয়ার ধ্রুবক (Least Count) কত?",0.02 cm,0.01 cm,0.2 mm,0.02 mm,0.02 cm,0.01 cm,0.2 mm,0.02 mm,1,1 VSD = (16/20) MSD = 0.8 mm. Least Count LC = 1 MSD - 1 VSD = 1 mm - 0.8 mm = 0.2 mm = 0.02 cm.,১ VSD = (১৬/২০) MSD = ০.৮ মিমি। ভার্নিয়ার ধ্রুবক LC = ১ MSD - ১ VSD = ১ - ০.৮ = ০.২ মিমি = ০.০২ সেমি।
PHY-002,JEE,Physics,Kinematics,Medium,A projectile is thrown with an initial velocity of u = (6i + 8j) m/s. The horizontal range of the projectile is (take g = 10 m/s²):,একটি প্রক্ষেপ্যকে (6i + 8j) m/s প্রারম্ভিক বেগে নিক্ষেপ করা হলো। প্রক্ষেপ্যটির অনুভূমিক সীমা (Range) কত? (g = 10 m/s²):,9.6 m,4.8 m,12.8 m,19.2 m,9.6 m,4.8 m,12.8 m,19.2 m,1,"u_x = 6 m/s, u_y = 8 m/s. Time of flight T = 2 u_y / g = 2(8)/10 = 1.6 s. Horizontal Range R = u_x × T = 6 × 1.6 = 9.6 m.","u_x = ৬ m/s, u_y = ৮ m/s। উড্ডয়ন কাল T = ১.৬ সেকেন্ড। অনুভূমিক সীমা R = ৬ × ১.৬ = ৯.৬ মিটার।"
PHY-003,WBJEE,Physics,Current Electricity,Medium,A wire of resistance R is stretched uniformly such that its length increases by 10%. The percentage increase in its resistance is approximately:,R রোধের একটি পরিবাহী তারকে সুষমভাবে টেনে দৈর্ঘ্য ১০% বৃদ্ধি করা হলো। তারটির রোধের শতকরা বৃদ্ধি কত হবে?,21%,10%,20%,11%,21%,10%,20%,11%,1,"Since volume V = A × L remains constant during stretching, R ∝ L². If L' = 1.1 L, then R' = (1.1)² R = 1.21 R. Percentage increase = (1.21 - 1) × 100% = 21%.",আয়তন ধ্রুবক থাকায় R ∝ L²। L' = ১.১ L হলে R' = ১.২১ R। রোধের শতকরা বৃদ্ধি = ২১%।
PHY-004,NEET,Physics,Ray Optics,Easy,"A convex lens of focal length 20 cm in air is immersed in water of refractive index 4/3. If refractive index of glass is 3/2, its new focal length in water is:",বায়ুতে ২০ সেমি ফোকাস দূরত্বের একটি উত্তল লেন্সকে ৪/৩ প্রতিসরাঙ্কের পানিতে নিমজ্জিত করা হলো। কাঁচের প্রতিসরাঙ্ক ৩/২ হলে পানিতে লেন্সটির নতুন ফোকাস দূরত্ব কত?,80 cm,40 cm,20 cm,60 cm,80 cm,40 cm,20 cm,60 cm,1,By Lens Maker's Formula: 1/f_air = (1.5 - 1)(1/R1 - 1/R2) = 0.5 K => K = 1/10. In water: 1/f_water = [(1.5 / 1.333) - 1] K = (1/8)(1/10) = 1/80 => f_water = 80 cm.,লেন্স মেকার সূত্রানুসারে: f_water = 4 × f_air = ৪ × ২০ = ৮০ সেমি।
PHY-005,JEE,Physics,Modern Physics & Dual Nature,Medium,The de Broglie wavelength of an electron accelerated through a potential difference of 100 V is approximately:,১০০ ভোল্ট বিভব পার্থক্যের মধ্য দিয়ে ত্বরান্বিত একটি ইলেকট্রনের দ্য ব্রগলি তরঙ্গদৈর্ঘ্য কত?,1.227 Å,0.123 Å,12.27 Å,0.613 Å,1.227 Å,0.123 Å,12.27 Å,0.613 Å,1,For an electron accelerated by V volts: λ = 12.27 / √V Å = 12.27 / √100 Å = 12.27 / 10 = 1.227 Å (or 0.1227 nm).,ইলেকট্রনের জন্য λ = ১২.২৭ / √V Å = ১২.২৭ / ১০ = ১.২২৭ Å।
BIO-001,NEET,Biology,Cell Biology,Easy,Which of the following cell organelles is responsible for the synthesis of ribosomal RNA (rRNA)?,কোষের কোন অঙ্গাণুটি রাইবোজোমাল আরএনএ (rRNA) সংশ্লেষণের জন্য দায়ী?,Nucleolus,Golgi apparatus,Lysosome,Endoplasmic reticulum,নিউক্লিওলাস,গলগি বডি,লাইসোজোম,এন্ডোপ্লাজমিক রেটিকুলাম,1,"The nucleolus is the distinct, non-membrane bound sub-nuclear structure dedicated to the transcription and processing of ribosomal RNA (rRNA) and ribosome assembly.",নিউক্লিওলাস হলো নিউক্লিয়াসের অভ্যন্তরে অবস্থিত প্রধান কেন্দ্র যেখানে rRNA সংশ্লেষিত হয়।
BIO-002,NEET,Biology,Genetics & Molecular Basis,Medium,"In a DNA molecule, if cytosine accounts for 18% of the total nitrogenous bases, the percentage of adenine present in that DNA is:","একটি ডিএনএ অণুতে যদি সাইটোসিন ১৮% থাকে, তবে ওই ডিএনএ-তে অ্যাডেনিনের শতকরা পরিমাণ কত?",32%,18%,36%,64%,32%,18%,36%,64%,1,"According to Chargaff's rules: %G = %C = 18%. Total (G + C) = 36%. Therefore, %A + %T = 100% - 36% = 64%. Since %A = %T, %Adenine = 64% / 2 = 32%.",শারগাফের নিয়ম অনুসারে: %G = %C = ১৮%। অতএব %A + %T = ১০০ - ৩৬ = ৬৪%। সুতরাং %অ্যাডেনিন = ৬৪/২ = ৩২%।
BIO-003,NEET,Biology,Human Physiology,Medium,Which hormone is directly responsible for stimulating the reabsorption of water from the distal convoluted tubules and collecting ducts of the nephron?,নেফ্রনের দূরবর্তী সংবর্তন নালিকা ও সংগ্রাহী নালিকা থেকে পানি পুনর্শোষণ উদ্দীপিত করার জন্য কোন হরমোনটি প্রত্যক্ষভাবে দায়ী?,Antidiuretic Hormone (ADH / Vasopressin),Oxytocin,Aldosterone,Glucagon,অ্যান্টিডাইইউরেটিক হরমোন (ADH / ভেসোপ্রেসিন),অক্সিটোসিন,অ্যালডোস্টেরন,গ্লুকাগন,1,"Antidiuretic hormone (ADH / Vasopressin), released from the posterior pituitary, increases aquaporin channel insertion into collecting ducts to conserve body water.",পশ্চাৎ পিটুইটারি থেকে ক্ষরিত ADH বা ভেসোপ্রেসিন বৃক্কে পানির পুনঃশোষণ বৃদ্ধি করে।
BIO-004,NEET,Biology,Biotechnology,Medium,EcoRI restriction endonuclease recognizes and cleaves which specific palindromic nucleotide sequence in double-stranded DNA?,EcoRI রেস্ট্রিকশন এন্ডোনিউক্লিয়েজ দ্বিসূত্রক ডিএনএ-র কোন নির্দিষ্ট প্যালিনড্রোমিক ক্ষারীয় অনুক্রমকে শনাক্ত ও কর্তন করে?,5'-GAATTC-3',5'-GGATCC-3',5'-AAGCTT-3',5'-CTGCAG-3',5'-GAATTC-3',5'-GGATCC-3',5'-AAGCTT-3',5'-CTGCAG-3',1,"EcoRI cuts specifically between G and A in the 5'-GAATTC-3' palindromic sequence, producing 5' cohesive sticky ends.",EcoRI উৎসেচকটি 5'-GAATTC-3' সিকোয়েন্সে G ও A এর মধ্যবর্তী ফসফোডাইএস্টার বন্ধন ছিন্ন করে।
GK-001,UPSC,General Science,Space & Defense Technology,Medium,"In satellite communication, the standard geostationary orbit (GEO) is located at an altitude of approximately how many kilometers above Earth's equator?",উপগ্রহীয় যোগাযোগ ব্যবস্থায় আদর্শ ভূ-স্থির কক্ষপথ (Geostationary Orbit) পৃথিবীর বিষুবরেখা থেকে আনুমানিক কত কিলোমিটার উচ্চতায় অবস্থিত?,"35,786 km",400 km,"20,200 km","1,000 km","৩৫,৭৮৬ কিমি",৪০০ কিমি,"২০,২০০ কিমি","১,০০০ কিমি",1,"A circular geosynchronous orbit positioned exactly over the equator at ~35,786 km (22,236 miles) has an orbital period matching Earth's rotation (23h 56m 4s), appearing stationary relative to ground antennas.","ভূ-স্থির উপগ্রহ বিষুবরেখার ঠিক ওপরে ৩৫,৭৮৬ কিমি উচ্চতায় পৃথিবীকে ২৪ ঘণ্টায় একবার প্রদক্ষিণ করে।"
GK-002,SSC,General Knowledge,Indian Polity & Constitution,Easy,Under which Article of the Constitution of India is the Right to Equality guaranteed to all citizens?,ভারতের সংবিধানের কোন অনুচ্ছেদের অধীনে সকল নাগরিকের জন্য সাম্যের অধিকার (Right to Equality) সুরক্ষিত?,Articles 14 to 18,Articles 19 to 22,Articles 25 to 28,Articles 32 to 35,অনুচ্ছেদ ১৪ থেকে ১৮,অনুচ্ছেদ ১৯ থেকে ২২,অনুচ্ছেদ ২৫ থেকে ২৮,অনুচ্ছেদ ৩২ থেকে ৩৫,1,Articles 14 through 18 of Part III of the Indian Constitution guarantee Fundamental Rights to Equality before law and equal protection of laws.,সংবিধানের তৃতীয় অংশের অনুচ্ছেদ ১৪ থেকে ১৮ নাগরিকদের সাম্যের মৌলিক অধিকার প্রদান করে।
